Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
95,Power Steering Oil Filling,SOLENOID  VALVE VQ7-6-FG-S-3ZRA02,SMC,2,,11580,1,1,,
96,Power Steering Oil Filling,DIGITAL PR.  SWITCH  ISE40A-01-T-A-X501,SMC,1,Digital pressure switch,11578,0,0,,
97,Power Steering Oil Filling,"Standard-JEC-2137-2000, Type-Y80M-4L-DZ, 0.75 KW, 1.9 AMP, 1410 RPM",TOSHIBA,1,Motor,,,,,
98,Power Steering Oil Filling,"Booster, VBA10A-02GN",SMC,1,Adaptor Clamp,11500,2,2,,
99,Power Steering Oil Filling,290/PAS/GUN WITH HOSE FOR P/S OIL FILLIN,Piecon,1,Complete Adaptor,14993,0,0,,
100,Power Steering Oil Filling,VACUFLEX HOSE COVER DIA 2 INCH,Piecon,1,Hose pipe for filling adaptor,14544,0,0,,
101,Power Steering Oil Filling,GUN PUSH BUTTON SQUARE TYPE RED & GREEN,Piecon,1,Red / Green Start / Stop PB,14216,0,0,,
102,Power Steering Oil Filling,OIL PUMP LM2203A-42-C2 INGERSOLL RAND,IR ARO,1,Oil transfer pump from drum to machine tank,11766,1,1,,
103,Wheel Nut Runner,SUSPENSION ROD FEMALE FOR WHEEL NUT LD,Local Develop,4,,11846,6,6,,
104,Wheel Nut Runner,SUNPENSION ROD MALE FOR WHEEL NUT LD,Local Develop,4,,11845,7,7,,
105,Wheel Nut Runner,BEARING TLA 4020Z IKO JAPAN for Wheel Nut & ATS Wheel ,IKO,8,Bearing,11469,32,32,Ordered 50nos.,
106,Wheel Nut Runner,HOUSING FOR WHEEL NUT SYSTEM LD LINE,Local Develop,4,,5870,0,0,2no. To be ordered,
107,Wheel Nut Runner,Barcode scanner,Bar Code India,1,,12309,0,0,Not required Zebra scanner installed,
108,Wheel Nut Runner,"Main Cylinder, MNBB100-400-B-X1P3BCWA",SMC,2,Cylinder (Main),6412,1,1,to be ordered,
109,Wheel Nut Runner,"Seal kit for Cylinder (Main), MNBB100-400-B-X1P3BCWA, SMC",SMC,2,Cylinder (Main),13616,2,2,,
110,Wheel Nut Runner,MGPL16-30-Z73 PNEUMATIC CYLINDER,SMC,2,6-Bolt Selection Cylinder,15108,1,1,to be ordered,
111,Wheel Nut Runner,CDQ2A50-40DMZ-A73 SMC COMPACT CYLINDER,SMC,4,5 & 8-Bolt Selection Cylinder,7501,2,2,,
112,Wheel Nut Runner,SS5Y7-X1V2023 PNEUMATIC VALVE BANK,SMC,2,Valve Assy. (Mount in drum),15107,1,1,,
113,Wheel Nut Runner,D-A73-LUG REED SWITCH,SMC,8,Reed Swich for Cylinder 5 & 8 Bolt,15109,6,6,to be ordered,
114,Wheel Nut Runner,D-Z73-LUG REED SWITCH,SMC,8,Reed Swich for Cylinder 6 Bolt + Brake Cyl. Top Side,15110,6,6,,
115,Wheel Nut Runner,"Rail Locking Cylinder, MDBB63-75-Z73",SMC,4,Top Side Rail Locking Cylinder,6411,2,2,,
116,Wheel Nut Runner,"KTP1000 Basic DP, 6AV6 647-0AE11-3AX0",Siemens,2,HMI LH & RH Side,12074,2,2,,
117,Wheel Nut Runner,"30597, End Truck Assy.",IR,8,Tolley,14070,8,8,to be ordered,
118,Wheel Nut Runner,7355226401  APEX DC SPINDLE FOR WHEELNUT,Apex,4,Spindle,15352,0,0,to be ordered,OLD spindle (73552B3602K1MSZ1250A) remove due to Angle encoder fault on 04.01.2022 & fitted NEW spindle (735524B360K1MSZ1250A)
,Wheel Nut Runner,Transducer for 7355226401  APEX DC SPINDLE FOR WHEELNUT,Apex,,,,,,to be ordered,
,Wheel Nut Runner,Motor for 7355226401  APEX DC SPINDLE FOR WHEELNUT,Apex,,,,,,to be ordered,
119,Wheel Nut Runner,MPro400GC-M CONTROLLER,Apex,2,Controller,15186,1,1,,
120,Wheel Nut Runner,960432-300 CABLE WITH 30 M LENGTH,Apex,4,Spindle cable,15187,1,1,,
121,Wheel Nut Runner,VM430-01-015 MECHANICAL VALVE,SMC,2,,15178,1,1,,
122,Wheel Nut Runner,PS8400ATX-ZE POWER SUPPLY 80+,Advantech,1,CPU power unit SMPS,12797,0,0,to be ordered,
123,Wheel Nut Runner,SOLENOID VALVE SY7220-5DZ-02,SMC,10,Pneumatic Valve in Drum,12364,1,1,to be ordered,
124,Wheel Nut Runner,PLC S7-300 CPU313C-2DP  (33-6CF030AB0),Siemens,1,,,,,,
125,Wheel Nut Runner,IM Module 151--1 6ES7 151AA050AB0,Siemens,2,,11790,1,1,,
126,Wheel Nut Runner,6ES79720BB420XA0 PROFIBUS CONNECTOR,Siemens,4,,15477,,0,,
127,Wheel Nut Runner,1x2x0.64 SQMM PROFIBUS CABLE LAPP MAKE,Siemens,100,,13685/ 3790,25 / 100,25 / 100,,
128,Wheel Nut Runner,LM Block,,,,,,,,
129,Wheel Nut Runner,LM Rail,,,,,,,,
130,Wheel Nut Runner,Pressure regulator,,,,,,,,
131,Wheel Nut Runner,STM-34 Drive,,,,,,,,
132,Wheel Nut Runner,PC,,,,,,,,
133,Wheel Nut Runner,PCD selection LM Rail,,,,,,,,
134,Wheel Nut Runner,PCD selection LM Block,,,,,,,,
135,Wheel Nut Runner,SOLENOID VALVE SY7220-5LZ-C10,SMC,2,Pneumatic Valve in Drum,20383,0,3,to be ordered (17074),
136,Wheel Nut Runner,VBA40A-04GN BOOSTER,SMC,1,Booster ,6193,0,0,,
137,Wheel Nut Runner,REPLACEMENT PART KIT KT-VBA40A-1,SMC,1,Booster seal kit,12049,2,2,,
138,Chassis Conveyor,Shear Pin for LCV Conveyor,Local Develop,25,Shear Pin,8641,169,169,,
139,Chassis Conveyor,SHEAR PIN SPROCKET 37T DIA 465x23.5TH,Praja,1,Shear Pin Sprocket,11197,1,1,,
140,Chassis Conveyor,10911S023/3 MAIN SPROCKET 8T 250MM PITCH,Praja,1,Main Sprocket,16682,1,1,,
