material no.,description,bin no.,val.stock,max.price,value,uom,storage loc
17605,0193-0529-01 SENSOR-TEMPERATURE,1000DG,1,,"2,541.88",NOS,1060
17606,"A028X493 SENSOR, PRESSURE",1000DG,1,,"5,006.69",NOS,1060
17607,0327-1379-01 BASE BOARD FOR PCC2100,1000DG,1,,"44,903.05",NOS,1060
17608,"0300-5180 BOARD,PRINTED CIRCUIT BARGRAP",1000DG,1,,"66,669.57",NOS,1060
17609,"0300-5467 DISPLAY, DIGITAL",1000DG,1,,"28,415.55",NOS,1060
17610,0151-0411 MAGNETIC PICK UP,1000DG,1,,"60,494.12",NOS,1060
17611,"3050692 SWITCH, MAGNETIC",1000DG,1,,"12,182.87",NOS,1060
17612,"A055G562 SENSOR, LOW COOLANT",1000DG,1,,"8,398.70",NOS,1060
17653,KIT3238665 KIT AIR CLEANER ELEMENT,1000DG,0,,0,NOS,1060
18097,0319-5010 DOOR ASSY. (W/METERS),1000DG,0,,0,NOS,1060
18305,HOSE ELBOW 3030772,1000DG,4,,"12,437.56",NOS,1060
18306,ELEMENT AIR CLEANER 4055279,1000DG,0,,0,NOS,1060
18307,ELEMENT AIR CLEANER 4055280,1000DG,0,,0,NOS,1060
18308,DIPSTICK 504442,1000DG,1,,654.65,NOS,1060
18309,GASKET HAND HOLE 3077199,1000DG,5,,"16,084.00",NOS,1060
18310,GASKET HAND HOLE 3078124,1000DG,1,,"7,187.97",NOS,1060
18311,HOSE PLAIN 3081053,1000DG,2,,"4,961.26",NOS,1060
18312,COOLANT EG 50:50 PREMIXED AX1014933,1000DG,1,,"11,025.18",NOS,1060
18558,45-0281 GREASE 400G KLUBER ASONIC GHY 7,1000DG,0,,0,NOS,1060
18559,RSK-6001 HC/MV 6/7 RECT SERVICE KIT,1000DG,1,,"19,560.36",NOS,1060
20958,3403800 FOIL SEALED TEST STRIPS CC2602B,1000DG,6,,"1,414.08",NOS,1060
4213,3062866 C-4 SWITCH TEMP.,1000DG,2,,"8,051.50",NOS,1060
4214,3056344 C-0 SWITCH PRESSURE,1000DG,0,,0,NOS,1060
4215,3056356 C-2 HARNESS WIRING SAFETY,1000DG,0,,0,NOS,1060
4905,135675 K-2 THERMOSTAT,1000DG,2,,"1,582.52",NOS,1060
4906,AS0606000SS K-4 HOSE,1000DG,0,,0,NOS,1060
4964,3230144 K-9 RUBBER INSERT,1000DG,0,,0,NOS,1060
5022,3879488 ELEMENT SUPER BYPASS FILTER,1000DG,1,,"1,112.67",NOS,1060
5023,173368 O-RING,1000DG,8,,342.32,NOS,1060
5192,3628973 GASKET COVER PLATE,1000DG,0,,0,NOS,1060
5193,3010937 O-RING FUEL FILTER(134736),1000DG,16,,305.92,NOS,1060
5194,146483 ASSEMBLY ROTOR SCREW,1000DG,0,,0,NOS,1060
5195,154088 RING SEALING,1000DG,8,,24.24,NOS,1060
5196,3008401 GASKET,1000DG,0,,0,NOS,1060
5197,103808 HOSE HUMP,1000DG,0,,0,NOS,1060
5198,105313 ELBOW HOSE,1000DG,0,,0,NOS,1060
5199,131026 O-RING,1000DG,0,,0,NOS,1060
